Student_ID,Age,Gender,School_Type,Study_Hours_Per_Week,Attendance_Rate,Previous_Grade,Parental_Education,Family_Income,Extracurricular_Activities,Absences,Has_Tutor,Sleep_Hours,Internet_Access,Final_Grade
3500,17,Male,Public,17.6,88.3,75.1,Bachelor,Medium,0,7,1,7.3,1,100.0
3501,18,Male,Public,12.5,92.7,93.1,Bachelor,Low,3,6,0,8.8,1,98.1
3502,16,Female,Public,18.7,97.2,61.8,Master,High,1,6,0,4.9,1,87.8
3503,17,Male,Public,6.6,66.8,84.0,High School,Medium,5,4,1,6.3,1,80.6
3504,17,Female,Public,13.7,95.5,69.7,Bachelor,Medium,2,8,0,8.3,1,82.6
3505,18,Male,Private,17.9,96.1,72.0,Bachelor,High,1,10,0,9.5,1,83.9
3506,16,Female,Public,18.7,84.8,83.7,Master,Medium,1,11,1,8.4,1,100.0
3507,17,Female,Public,18.3,82.9,73.3,Bachelor,Low,5,7,1,7.6,1,100.0
3508,19,Male,Private,16.5,78.1,69.8,High School,High,2,7,1,8.1,1,96.3
3509,19,Male,Private,14.0,99.3,69.1,Bachelor,Low,0,8,1,8.0,1,91.4
3510,19,Male,Private,17.7,99.0,51.2,Bachelor,Low,2,18,1,6.3,0,87.1
3511,16,Female,Public,10.2,93.8,84.2,High School,Medium,3,12,0,7.7,1,72.1
3512,17,Female,Private,10.8,73.3,62.9,Master,Low,1,6,0,5.8,1,80.2
3513,19,Female,Public,15.3,88.6,97.3,High School,Medium,5,7,0,7.2,1,93.0
3514,16,Male,Public,15.9,89.9,71.5,High School,Medium,2,9,1,6.4,1,71.4
3515,19,Male,Public,5.9,86.5,90.7,High School,Medium,4,11,1,7.6,1,81.4
3516,18,Male,Public,17.3,87.7,53.3,Bachelor,Low,2,9,0,6.4,1,78.2
3517,17,Male,Public,18.9,96.5,83.8,Bachelor,Medium,2,4,1,7.1,1,100.0
3518,17,Female,Public,14.6,89.5,86.9,High School,Low,3,10,0,5.8,1,85.6
3519,16,Female,Public,26.9,81.0,90.6,Master,Low,5,9,0,6.6,1,100.0
3520,16,Female,Public,11.6,97.0,56.7,High School,Medium,1,8,1,8.4,1,77.0
3521,17,Male,Public,13.2,97.1,66.6,Bachelor,Medium,3,3,0,4.8,1,75.4
3522,19,Female,Private,13.0,88.1,81.9,High School,Medium,3,11,1,7.1,1,87.6
3523,19,Female,Public,14.6,93.5,76.8,PhD,Low,4,7,1,8.7,1,100.0
3524,18,Female,Public,13.4,87.3,78.5,Master,High,3,6,1,8.1,1,87.4
3525,19,Female,Public,8.0,95.7,70.7,Master,Low,5,8,0,7.1,1,67.4
3526,16,Male,Private,12.3,92.3,93.6,High School,Medium,3,11,1,7.9,0,100.0
3527,16,Male,Private,14.5,88.3,100.0,Bachelor,Low,4,10,1,6.1,0,96.7
3528,19,Female,Public,21.1,72.0,76.2,Bachelor,Medium,0,7,1,7.9,1,100.0
3529,16,Male,Public,26.0,83.9,80.4,Bachelor,Medium,3,9,0,8.5,1,100.0
3530,17,Male,Public,21.7,79.8,75.7,Bachelor,Medium,2,4,0,7.3,1,99.0
3531,17,Female,Private,11.1,95.0,90.4,Master,Low,3,5,1,8.2,1,100.0
3532,19,Female,Private,11.5,97.9,84.9,High School,Medium,1,10,1,5.8,1,98.8
3533,17,Female,Private,14.2,87.5,62.2,Bachelor,Medium,2,9,1,5.6,1,86.0
3534,17,Male,Public,23.9,80.3,67.6,Bachelor,Medium,2,10,0,7.9,1,78.3
3535,18,Male,Public,14.2,98.2,62.9,Bachelor,Low,0,9,0,10.0,1,73.9
3536,18,Female,Private,8.4,89.0,100.0,High School,Medium,1,8,1,7.1,1,92.0
3537,17,Female,Public,12.5,90.3,82.6,High School,Low,1,6,0,8.1,1,74.3
3538,19,Female,Public,18.8,96.4,67.9,Bachelor,Low,1,5,0,4.0,1,73.9
3539,18,Female,Public,18.4,83.2,66.9,PhD,Low,3,9,0,7.7,1,93.7
3540,16,Female,Private,14.0,62.8,84.7,PhD,Low,3,4,0,6.4,0,74.9
3541,16,Female,Public,18.4,99.1,85.9,High School,Medium,2,5,1,9.4,1,100.0
3542,16,Male,Public,3.6,95.9,84.6,High School,Medium,0,7,0,7.9,1,71.2
3543,19,Female,Public,15.5,72.1,69.9,Bachelor,Medium,3,7,0,7.1,1,89.6
3544,17,Female,Private,19.3,96.4,78.7,Bachelor,Medium,5,8,1,6.3,1,100.0
3545,16,Female,Public,10.8,76.5,76.3,Master,Medium,5,10,0,8.5,1,97.9
3546,19,Male,Public,10.8,89.1,63.8,Bachelor,Medium,3,5,1,8.6,1,88.5
3547,18,Female,Public,5.7,82.6,63.9,Bachelor,High,0,13,1,6.0,1,80.3
