Student_ID,Age,Gender,Department,Family_Income,Previous_GPA,Study_Hours_Per_Week,Attendance_Percentage,Extracurricular_Activities,Part_Time_Job,Distance_From_Home,Internet_Access,Library_Usage_Hours,Social_Media_Hours,Final_Grade,Message_welcome
0.0,0.3333333333333335,Male,Arts,,0.7011070110701108,0.059051648444379407,0.8673323823109844,No,No,0.3193335433845025,Yes,0.0805084745762712,0.08724832214765099,0.31513265068522384,1
0.0008340283569641116,0.22222222222222232,Female,Engineering,0.10623103017318336,0.6826568265682658,0.06426208801300111,0.8416547788873039,No,No,0.15342109458447495,Yes,0.6483050847457628,0.40939597315436244,0.24446654113762822,1
0.0016680567139282232,0.4444444444444442,Female,Business Administration,0.21825184278317647,0.9741697416974171,0.052972802280987406,0.6048502139800285,No,Yes,0.4197318457352884,Yes,0.5889830508474577,0.6308724832214765,0.24001011981480685,1
0.002502085070892335,0.6666666666666665,Female,Engineering,0.12683959497028593,0.4649446494464944,0.06773571439208226,0.523537803138374,Yes,Yes,0.16278025836293802,Yes,0.14406779661016952,0.6442953020134228,0.334231599211601,1
0.0033361134278565574,0.22222222222222232,Female,Business Administration,0.14681051852985438,0.5350553505535056,0.09899835180381253,0.820256776034237,No,No,0.16873608985832364,Yes,0.08898305084745764,0.13422818791946312,0.3565137058257078,1
0.004170141784820669,0.22222222222222232,Female,Business Administration,0.25322008824954734,0.933579335793358,0.10420879137243423,0.6590584878744652,No,No,0.3184827103137331,Yes,0.004237288135593221,0.18791946308724833,0.2260042242287969,1
0.005004170141784781,0.6666666666666665,Male,Mathematics,0.03361644604279848,0.5719557195571956,0.277021703731721,0.8145506419400856,Yes,No,0.40441685046143966,No,0.17372881355932207,0.15436241610738255,0.3055831764220352,1
0.005838198498748892,0.4444444444444442,Male,Business Administration,,0.9040590405904061,0.13373461559462393,0.8801711840228248,Yes,No,0.24701273236910584,Yes,0.15677966101694918,0.21476510067114093,0.2724783323096482,1
0.006672226855713115,0.22222222222222232,Female,Engineering,0.16836279235850743,1.0,0.0998667583985828,0.5777460770328104,Yes,No,0.19255941583986605,Yes,0.03389830508474576,0.060402684563758385,0.24510317275517407,1
0.007506255212677226,0.4444444444444442,Male,Mathematics,0.12229958935904303,,0.04255192314374398,0.8873038516405136,No,No,0.20447107883063725,Yes,0.20762711864406783,0.14093959731543626,0.2603823315762759,1
0.008340283569641338,0.22222222222222232,Female,Arts,0.15170760323411636,0.8560885608856088,0.08510384628748796,0.20114122681883023,Yes,No,0.2027694126890985,Yes,0.31779661016949157,0.2550335570469799,0.19162611688131798,1
